"NG1.genes.results","NG2.genes.results","NG3.genes.results","RPM1.genes.results","RPM2.genes.results","RPM3.genes.results"
"ENSMUSG00000083037",0,0,0,0,0,0
"ENSMUSG00000083038",0,0,0,0,1,0
"ENSMUSG00000083039",0,0,0,0,0,0
"ENSMUSG00000083041",0,0,0,0,0,0
"ENSMUSG00000083042",0,0,0,0,0,0
"ENSMUSG00000083043",0,0,0,0,0,0
"ENSMUSG00000083044",21.2,28.06,42.19,15.08,19.21,8.21
"ENSMUSG00000083045",0,0,0,0,0,0
"ENSMUSG00000083046",0,0,0,0,0,0
"ENSMUSG00000083047",0,0,0,0,0,0
"ENSMUSG00000083049",0.15,13.11,21.4,32.12,20.06,11.12
"ENSMUSG00000083050",0,0,0,0,0,0
"ENSMUSG00000083052",0,0,0,0,0,0
"ENSMUSG00000083053",0,0,0,0,0,0
"ENSMUSG00000083054",0,0,0,0,0,0
"ENSMUSG00000083055",0,0,0,0,0,0
"ENSMUSG00000083057",0,0,0,0,0,0
"ENSMUSG00000083058",0,0,0,0,0,0
"ENSMUSG00000083059",0,0,0,0,0,0
"ENSMUSG00000083060",0,0,0,0,0,0
"ENSMUSG00000083061",2751.91,4866.09,4980.75,4523.01,2774.3,2445.18
"ENSMUSG00000083062",0,0,0,1,0,0
"ENSMUSG00000083063",0,0,0,0,0,0
"ENSMUSG00000083064",11.62,6.77,5.11,1.28,10.64,10.54
"ENSMUSG00000083065",0,0,0,0,0,0
"ENSMUSG00000083066",0,0,0,0,0,0
"ENSMUSG00000083067",0,0,0,0,0,0
"ENSMUSG00000083068",0,0,0,1.05,0,0
"ENSMUSG00000083069",0,0,0,0,0,0
"ENSMUSG00000083070",0,0,0,0,0,0
"ENSMUSG00000083072",0,0,0,0,0,0
"ENSMUSG00000083073",0,0,0,0,0,0
"ENSMUSG00000083074",0,0,0,0,0,0
"ENSMUSG00000083075",0,0,0,0,0,0
"ENSMUSG00000083076",0,0,0,0,0,0
"ENSMUSG00000083077",0,0,0,0,0,0
"ENSMUSG00000083078",0,0,0,0,0,0
"ENSMUSG00000083079",0,0,0,0,0,0
"ENSMUSG00000083080",0,0,0,0,0,0
"ENSMUSG00000083081",0,0,0,0,0,0
"ENSMUSG00000083083",1,0,0,5,3,3
"ENSMUSG00000083084",0,0,0,0,0,0
"ENSMUSG00000083085",0,0,0,0,0,0
"ENSMUSG00000083086",0,0,0,0,0,0
"ENSMUSG00000083087",15.62,8.13,22.96,4.32,4.27,0
"ENSMUSG00000083088",0,0,0,0,0,0
"ENSMUSG00000083089",0,0,0,0,0,0
"ENSMUSG00000083090",0,0,0,0,0,0
"ENSMUSG00000083091",0,0,0,0,0,0
"ENSMUSG00000083093",0,0,0,0,0,0
"ENSMUSG00000083094",8.99,5,2,2.13,1.04,0
"ENSMUSG00000083096",0,0,0,0,0,0
"ENSMUSG00000083097",138.35,149.23,165.55,89.41,70.39,39.27
"ENSMUSG00000083098",0,0,0,0,0,0
"ENSMUSG00000083099",0,0,0,0,0,0
"ENSMUSG00000083100",1,0,0,0,0,0
"ENSMUSG00000083101",0,0,0,0,0,0
"ENSMUSG00000083103",0,0,0,0,0,0
"ENSMUSG00000083104",1,0,0,1,3,1
"ENSMUSG00000083105",0,0,0,0,0,0
"ENSMUSG00000083106",0,0,0,0,0,0
"ENSMUSG00000083107",0,0,0,0,2.08,1
"ENSMUSG00000083109",0,0,0,0,0,0
"ENSMUSG00000083110",0,0,0,0,0,0
"ENSMUSG00000083111",15.37,15.37,9.04,48.57,44.48,81.74
"ENSMUSG00000083112",0,4,1,1,1,1
"ENSMUSG00000083113",0,0,0,0,0,0
"ENSMUSG00000083114",0,0,0,0,0,0
"ENSMUSG00000083115",0,0,0,0,0,0
"ENSMUSG00000083116",0.86,0,0,0,0,2.71
"ENSMUSG00000083117",0,0,0,0,0,0
"ENSMUSG00000083118",0,0,0,0,0,0
"ENSMUSG00000083119",0,0,0,0,0,0
"ENSMUSG00000083120",0,0,0,0,0,0
"ENSMUSG00000083121",1.08,0,0,0,0,0
"ENSMUSG00000083122",0,0,0,0,0,0
"ENSMUSG00000083123",0,0,0,0,0,1
"ENSMUSG00000083124",0,0,0,0,0,0
"ENSMUSG00000083126",0,0,0,0,0,0
"ENSMUSG00000083127",0,0,0,1,0,0
"ENSMUSG00000083128",0,0,0,0,0,0
"ENSMUSG00000083129",0,0,0,0,0,0
"ENSMUSG00000083130",0,0,0,0,0,0
"ENSMUSG00000083135",0,0,0,0,0,0
"ENSMUSG00000083136",0,0,0,0,0,0
"ENSMUSG00000083137",0,0,0,0,0,0
"ENSMUSG00000083138",0,0,0,0,0,0
"ENSMUSG00000083139",0,0,0,0,0,1.15
"ENSMUSG00000083140",0,0,0,0,1,0
"ENSMUSG00000083141",0,0,0,0,0,0
"ENSMUSG00000083142",0,0,0,0,0,0
"ENSMUSG00000083143",0,0,0,0,0,0
"ENSMUSG00000083144",0,0,0,0,1,0
"ENSMUSG00000083145",0,0,0,0,0,0
"ENSMUSG00000083147",0,0,0,0,0,0
"ENSMUSG00000083149",0,0,1,0,0,0
"ENSMUSG00000083150",0,0,0,0,0,0
"ENSMUSG00000083151",0,0,0,0,0,0
"ENSMUSG00000083152",1,2,3,6,2,3
"ENSMUSG00000083153",0,0,0,0,0,0
"ENSMUSG00000083154",2,1,0,0,0,2
"ENSMUSG00000083155",0,0,0,0,0,0
"ENSMUSG00000083156",0,0,0,0,0,0
"ENSMUSG00000083157",0,0,0,1,1,0
"ENSMUSG00000083158",0,0,0,0,0,0
"ENSMUSG00000083159",0,0,0,0,0,0
"ENSMUSG00000083160",0,0,0,0,0,0
"ENSMUSG00000083161",150.5,249.86,125.83,1337.95,581.8,836.94
"ENSMUSG00000083162",0,0,0,0,0,0
"ENSMUSG00000083163",0,0,0,0,0,0
"ENSMUSG00000083165",0,0,0,0,0,0
"ENSMUSG00000083166",1,0,1,1,1,0
"ENSMUSG00000083167",0,0,0,0,0,0
"ENSMUSG00000083168",0,0,0,0,0,0
"ENSMUSG00000083169",5,4,8,7.01,4,4
"ENSMUSG00000083170",0,0,0,0,0,0
"ENSMUSG00000083171",1,0,0,1,1,2.99
"ENSMUSG00000083172",0,0,0,0,0,0
"ENSMUSG00000083173",0,0,0,0,0,0
"ENSMUSG00000083174",0,0,0,0,0,0
"ENSMUSG00000083175",0,0,0,0,0,0
"ENSMUSG00000083176",0,0,0,0,0,0
"ENSMUSG00000083177",2,3,2,4,1,0
"ENSMUSG00000083178",0,0,0,0,1,0
"ENSMUSG00000083179",3.68,2.34,0,0,0,0
"ENSMUSG00000083180",0,0,0,0,0,0
"ENSMUSG00000083181",0,0,0,0,0,0
"ENSMUSG00000083182",0,0,0,0,0,0
"ENSMUSG00000083183",0,0,1,0,0,1
"ENSMUSG00000083185",0,0,0,0,0,0
"ENSMUSG00000083186",0,1,0,0,0,1
"ENSMUSG00000083188",0,0,0,0,0,0
"ENSMUSG00000083190",0,0,0,0,0,0
"ENSMUSG00000083191",0,0,0,0,1,0
"ENSMUSG00000083193",0,0,0,0,0,0
"ENSMUSG00000083195",0,0,0,0,0,0
"ENSMUSG00000083196",0,0,0,0,0,0
"ENSMUSG00000083197",0,0,0,0,0,0
"ENSMUSG00000083199",1.01,0,0,0,0,1.02
"ENSMUSG00000083200",2.99,6.23,5.01,0,1,0
"ENSMUSG00000083201",1,0,1,0,0,1
"ENSMUSG00000083202",0,0,0,0,0,0
"ENSMUSG00000083203",0,0,0,0,0,0
"ENSMUSG00000083204",0,0,0,0,0,0
"ENSMUSG00000083205",0,0,0,0,0,0
"ENSMUSG00000083206",0,0,0,0,0,0
"ENSMUSG00000083207",0,0,0,0,0,0
"ENSMUSG00000083208",0,0,0,0,0,0
"ENSMUSG00000083209",1,0,0,0,0,0
"ENSMUSG00000083210",0,0,0,0,0,0
"ENSMUSG00000083211",0,0,0,0,0,0
"ENSMUSG00000083212",0,0,0,0,0,0
"ENSMUSG00000083213",0,0,0,0,0,0
"ENSMUSG00000083214",0,0,0,0,0,0
"ENSMUSG00000083215",0,0,0,0,0,0
"ENSMUSG00000083216",0,0,0,0,0,0
"ENSMUSG00000083218",0,0,0,0,0,0
"ENSMUSG00000083219",0,0,0,0,0,0
"ENSMUSG00000083220",0,0,0,0,0,0
"ENSMUSG00000083221",0,0,0,0,0,0
"ENSMUSG00000083222",0,0,0,0,0,0
"ENSMUSG00000083223",0,0,0,1,0,0
"ENSMUSG00000083224",0,0,0,0,0,0
"ENSMUSG00000083225",0,0,0,0,0,0
"ENSMUSG00000083226",2,3.76,0,1,2,1
"ENSMUSG00000083227",0,0,0,0,0,0
"ENSMUSG00000083228",0,0,0,0,0,0
"ENSMUSG00000083229",0,0,0,0,0,0
"ENSMUSG00000083230",0,0,0,0,0,0
"ENSMUSG00000083231",0,0,0,0,0,0
"ENSMUSG00000083232",0,0,0,1,0,0
"ENSMUSG00000083233",0,0,0,0,0,0
"ENSMUSG00000083234",0,0,0,0,0,0
"ENSMUSG00000083235",0,0,0,0,0,0
"ENSMUSG00000083236",0,0,1,0,0,0
"ENSMUSG00000083237",0,0,3,1,3,2
"ENSMUSG00000083238",0,0,0,0,0,0
"ENSMUSG00000083239",0,0,0,0,0,0
"ENSMUSG00000083240",0,0,0,0,0,0
"ENSMUSG00000083241",0,0,0,0,0,0
"ENSMUSG00000083242",0,0,0,0,0,0
"ENSMUSG00000083243",0,0,0,0,0,0
"ENSMUSG00000083244",0,0,0,0,0,0
"ENSMUSG00000083245",22.47,33.22,29.86,19.67,13.04,12.93
"ENSMUSG00000083246",0,1.01,6.11,0,9.78,6.04
"ENSMUSG00000083248",0,0,0,0,0,0
"ENSMUSG00000083249",0,0,0,0,0,0
"ENSMUSG00000083250",0,0,0,0,0,0
"ENSMUSG00000083251",0,0,0,0,0,0
"ENSMUSG00000083252",0,0,0,0,0,0
"ENSMUSG00000083253",0,0,0,0,0,0
"ENSMUSG00000083254",0,0,0,0,0,0
"ENSMUSG00000083255",0,0,0,0,1,0
"ENSMUSG00000083256",0,0,0,0,0,0
"ENSMUSG00000083257",0,0,0,0,0,0
"ENSMUSG00000083258",0,1,1,0,1.01,2.01
"ENSMUSG00000083260",0,0,0,0,0,0
"ENSMUSG00000083261",0,0,3,0,0,2.66
"ENSMUSG00000083262",0,0,0,0,0,0
"ENSMUSG00000083263",0,0,0,0,0,0
"ENSMUSG00000083264",0,0,0,0,0,1
"ENSMUSG00000083267",0,0,0,0,0,0
"ENSMUSG00000083268",0,0,0,0,2,1
"ENSMUSG00000083269",0,0,0,0,0,0
"ENSMUSG00000083270",0,0,0,0,0,0
"ENSMUSG00000083271",0,0,0,0,0,0
"ENSMUSG00000083272",0,0,0,0,0,0
"ENSMUSG00000083274",0,0,0,0,0,0
"ENSMUSG00000083275",0,0,0,0,0,0
"ENSMUSG00000083276",0,0,0,0,0,0
"ENSMUSG00000083277",0,0,0,0,0,1
"ENSMUSG00000083278",0,0,0,0,0,0
"ENSMUSG00000083279",0,0,0,0,0,0
"ENSMUSG00000083280",0,0,0,0,0,0
"ENSMUSG00000083281",0,0,0,0,0,0
"ENSMUSG00000083282",2323,1792,2348,532,1077,751
"ENSMUSG00000083283",1.01,1.01,0,0,0,0
"ENSMUSG00000083284",2,3,2,0,3,2
"ENSMUSG00000083285",0,0,0,0,0,0
"ENSMUSG00000083287",33.82,0,16.4,20.69,17.17,9.68
"ENSMUSG00000083288",0,0,0,0,0,0
"ENSMUSG00000083289",0,0,0,0,0,0
"ENSMUSG00000083290",0,0,0,0,0,0
"ENSMUSG00000083291",0,1,0,0,0,0
"ENSMUSG00000083292",0,0,0,0,0,0
"ENSMUSG00000083293",0,0,0,0,0,0
"ENSMUSG00000083294",0,0,0,0,0,0
"ENSMUSG00000083296",0,0,0,0,0,0
"ENSMUSG00000083297",0,0,0,0,0,0
"ENSMUSG00000083298",0,0,0,0,0,0
"ENSMUSG00000083299",0,0,0,0,0,0
"ENSMUSG00000083300",0,0,0,0,0,0
"ENSMUSG00000083303",1,1,0,1,0,1
"ENSMUSG00000083304",0,0,0,0,0,0
"ENSMUSG00000083305",1,0,3,3,1,1
"ENSMUSG00000083306",0,0,0,0,0,0
"ENSMUSG00000083307",58,44,30,193,188,177
"ENSMUSG00000083309",0,0,0,0,0,0
"ENSMUSG00000083310",31,44,38.98,12,8,9
"ENSMUSG00000083311",1.11,1.12,0,1.18,4.04,0
"ENSMUSG00000083312",0,0,0,0,0,0
"ENSMUSG00000083314",0,0,0,0,0,0
"ENSMUSG00000083315",0,0,0,0,0,0
"ENSMUSG00000083316",0,0,0,0,1,0
"ENSMUSG00000083317",0,0,0,0,0,0
"ENSMUSG00000083318",0,0,0,0,0,0
"ENSMUSG00000083319",0,0,0,0,0,0
"ENSMUSG00000083320",1,2,3,4,3,2
"ENSMUSG00000083321",0,0,0,0,0,0
"ENSMUSG00000083324",0,0,0,0,0,0
"ENSMUSG00000083325",0,0,0,0,0,0
"ENSMUSG00000083326",0,1,0,0,0,1
"ENSMUSG00000083327",0,0,4.3,0,0,11.77
"ENSMUSG00000083328",0,0,1.04,1.05,1.01,1.08
"ENSMUSG00000083329",0,0,0,0,0,0
"ENSMUSG00000083330",0,0,0,0,0,0
"ENSMUSG00000083331",0,0,0,0,0,0
"ENSMUSG00000083332",3,1,3,1,4,3
"ENSMUSG00000083333",0,0,0,0,0,0
"ENSMUSG00000083334",0,0,0,0,0,0
"ENSMUSG00000083335",0,0,1,3,3,0
"ENSMUSG00000083336",0,0,0,0,0,0
"ENSMUSG00000083337",6.37,3.03,3.09,1.04,2.02,0
"ENSMUSG00000083338",0,0,1,0,2.01,1
"ENSMUSG00000083339",1,2,0,0,0,1
"ENSMUSG00000083340",0,0,0,1,0,0
"ENSMUSG00000083341",0,0,0,0,0,0
"ENSMUSG00000083342",0,0,0,0,0,0
"ENSMUSG00000083343",0,0,0,0,0,0
"ENSMUSG00000083344",1,0,1,1,2,3
"ENSMUSG00000083345",0,0,0,0,0,0
"ENSMUSG00000083346",0,0,0,0,0,0
"ENSMUSG00000083347",0,0,0,0,0,0
"ENSMUSG00000083348",0,0,0,0,0,0
"ENSMUSG00000083350",0,0,1,1,0,0
"ENSMUSG00000083351",0,0,0,0,0,0
"ENSMUSG00000083352",0,0,0,0,0,0
"ENSMUSG00000083353",1,0,0,0,1,0
"ENSMUSG00000083355",0,0,0,0,0,0
"ENSMUSG00000083356",0,0,0,0,0,0
"ENSMUSG00000083358",0,0,0,0,0,0
"ENSMUSG00000083359",0,0,0,0,0,0
"ENSMUSG00000083361",0,0,0,0,0,0
"ENSMUSG00000083362",1,0,0,0,0,1
"ENSMUSG00000083363",0,0,0,0,0,0
"ENSMUSG00000083364",261.64,254.95,268,280.39,294.28,224.49
"ENSMUSG00000083365",0,0,0,0,0,0
"ENSMUSG00000083366",0,0,0,0,0,0
"ENSMUSG00000083367",0,0,0,0,0,0
"ENSMUSG00000083368",0,0,1,1,0,1
"ENSMUSG00000083369",0,0,0,0,0,0
"ENSMUSG00000083371",1,0,0,0,0,0
"ENSMUSG00000083372",0,0,0,0,0,0
"ENSMUSG00000083373",0,0,1.12,0,0,0
"ENSMUSG00000083374",1.12,0.96,0,0,1.01,0
"ENSMUSG00000083375",0,0,0,0,0,0
"ENSMUSG00000083376",0,0,0,0,0,0
"ENSMUSG00000083377",0,0,0,0,0,0
"ENSMUSG00000083378",1,1,5.64,2,0,3
"ENSMUSG00000083379",2,2.38,2,0,0,0
"ENSMUSG00000083380",536.35,591.38,644.57,609.2,541.53,507.43
"ENSMUSG00000083381",0,0,0,0,0,0
"ENSMUSG00000083382",2.22,4.45,2.24,0,2.23,1.19
"ENSMUSG00000083383",0,0,0,0,0,0
"ENSMUSG00000083384",0,0,0,0,0,0
"ENSMUSG00000083385",0,0,0,0,0,0
"ENSMUSG00000083386",0,0,0,0,0,0
"ENSMUSG00000083387",1,0,0,0,0,3
"ENSMUSG00000083388",0,0,0,0,0,0
"ENSMUSG00000083389",0,0,0,0,0,0
"ENSMUSG00000083390",0,0,1,0,1.41,0
"ENSMUSG00000083391",1.8,4.13,2.37,0,2.12,0
"ENSMUSG00000083392",0,0,0,0,0,0
"ENSMUSG00000083393",0,0,0,0,0,0
"ENSMUSG00000083394",0,1.37,2.83,0.06,1.65,0
"ENSMUSG00000083395",0,1,3,1,1,2
"ENSMUSG00000083396",3.61,22.17,9.14,28.69,10.15,27.24
"ENSMUSG00000083397",0,1,0,2,4,0
"ENSMUSG00000083398",0,0,0,0,0,0
"ENSMUSG00000083399",0,0,0,0,0,0
"ENSMUSG00000083401",0,0,0,0,0,0
"ENSMUSG00000083402",0,0,0,0,0,0
"ENSMUSG00000083403",0,0,1,0,0,3
"ENSMUSG00000083404",0,0,0,0,0,0
"ENSMUSG00000083405",0,0,0,0,0,0
"ENSMUSG00000083406",0,0,0,0,0,0
"ENSMUSG00000083407",0,0,0,0,0,0
"ENSMUSG00000083409",0,0,0,0,0,0
"ENSMUSG00000083410",110.33,48.71,53.28,319.74,501.41,718.79
"ENSMUSG00000083411",8.96,18.07,12.59,0,0.94,0
"ENSMUSG00000083412",0,0,0,1,0,0
"ENSMUSG00000083413",0,0,0,0,0,0
"ENSMUSG00000083414",0,0,0,0,0,0
"ENSMUSG00000083416",0,0,0,0,0,0
"ENSMUSG00000083417",0,0,0,0,0,0
"ENSMUSG00000083418",0,0,0,0,0,0
"ENSMUSG00000083419",0,0,0,0,0,0
"ENSMUSG00000083420",0,0,0,0,0,0
"ENSMUSG00000083421",0,0,0,1,1,0
"ENSMUSG00000083422",0,0,0,0,0,0
"ENSMUSG00000083423",0,0,0,0,0,0
"ENSMUSG00000083424",2129.57,2656.91,2652.99,1582.43,1438.65,1145.09
"ENSMUSG00000083425",0,0,0,0,0,0
"ENSMUSG00000083427",0,0,0,0,0,0
"ENSMUSG00000083428",0,0,0,0,0,0
"ENSMUSG00000083429",0,0,0,0,0,0
"ENSMUSG00000083430",0,0,0,0,0,0
"ENSMUSG00000083431",213,170,176,64,115,86.99
"ENSMUSG00000083432",0,0,0,0,0,0
"ENSMUSG00000083434",0,2,3,2,1,2
"ENSMUSG00000083435",0,0,0,0,0,1
"ENSMUSG00000083436",0,0,0,0,0,0
"ENSMUSG00000083437",0,0,0,0,0,0
"ENSMUSG00000083438",0,0,0,0,0,0
"ENSMUSG00000083439",0,0,0,0,0,0
"ENSMUSG00000083440",0,0,0,0,0,0
"ENSMUSG00000083441",0,0,0,0,0,0
"ENSMUSG00000083443",0,1.08,0,1.09,0,1.07
"ENSMUSG00000083444",0,0,0,0,0,0
"ENSMUSG00000083445",0,0,0,0,0,0
"ENSMUSG00000083446",0,0,0,0,0,0
"ENSMUSG00000083447",0,0,0,0,0,0
"ENSMUSG00000083448",0,0,0,0,0,0
"ENSMUSG00000083449",0,0,0,0,0,0
"ENSMUSG00000083450",0,0,0,0,0,0
"ENSMUSG00000083451",0,0,0,0,0,0
"ENSMUSG00000083452",0,0,0,0,0,0
"ENSMUSG00000083453",0,0,0,0,0,0
"ENSMUSG00000083454",1.02,1.01,0,0,0,0
"ENSMUSG00000083455",0,0,0,0,0,0
"ENSMUSG00000083456",0,0,0,0,0,0
"ENSMUSG00000083457",0,0,0,0,0,0
"ENSMUSG00000083458",0,0,0,0,0,0
"ENSMUSG00000083460",74.45,101.7,130.62,45.74,41.35,27.59
"ENSMUSG00000083461",0,0,0,0,0,0
"ENSMUSG00000083462",0,0,0,1,0,1
"ENSMUSG00000083463",0,0,0,0,0,0
"ENSMUSG00000083465",2,2,3,8,6.52,1.01
"ENSMUSG00000083466",0,0,0,0,0,0
"ENSMUSG00000083467",0,0,0,0,0,0
"ENSMUSG00000083468",1,0,0,0,0,0
"ENSMUSG00000083469",0,0,0,0,0,0
"ENSMUSG00000083470",0,0,0,2,0,2
"ENSMUSG00000083471",0,0,0,0,0,0
"ENSMUSG00000083472",0,0,0,0,0,0
"ENSMUSG00000083473",0,0,1,0,0,0
"ENSMUSG00000083474",0,2.5,0,0,3.25,0
"ENSMUSG00000083475",0,0,0,0,0,0
"ENSMUSG00000083477",0,0,0,1.09,0,0
"ENSMUSG00000083478",0,0,0,0,0,0
"ENSMUSG00000083481",0,0.89,0,0.76,0.98,1.34
"ENSMUSG00000083482",0,0,0,0,0,0
"ENSMUSG00000083483",1.07,3.58,0.85,0.95,2.02,0
"ENSMUSG00000083484",0,0,0,0,0,0
"ENSMUSG00000083485",0,0,0,0,0,0
"ENSMUSG00000083486",0,0,0,0,0,0
"ENSMUSG00000083487",0,0,0,0,0,0
"ENSMUSG00000083488",0,0,0,0,0,0
"ENSMUSG00000083489",0,0,0,0,1,1
"ENSMUSG00000083490",0,0,0,0,0,0
"ENSMUSG00000083491",0,0,0,0,0,0
"ENSMUSG00000083492",0,0,0,0,0,0
"ENSMUSG00000083493",0,0,0,0,0,0
"ENSMUSG00000083494",0,0,0,0,0,0
"ENSMUSG00000083495",0,0,0,0,0,3
"ENSMUSG00000083496",15.53,17.85,11.65,9.87,10.39,9.88
"ENSMUSG00000083498",0,0,0,0,0,0
"ENSMUSG00000083499",0,0,0,0,0,0
"ENSMUSG00000083500",10,8,6,17,20,29
"ENSMUSG00000083501",0,0,0,0,0,0
"ENSMUSG00000083502",0,0,0,0,0,0
"ENSMUSG00000083503",0,0,0,0,0,0
"ENSMUSG00000083505",1,1,0,3,2,2
"ENSMUSG00000083507",1.03,0,1,0,1,0
"ENSMUSG00000083508",0,0,0,0,0,0
"ENSMUSG00000083509",0,0,0,0,0,0
"ENSMUSG00000083510",0,0,0,0,0,0
"ENSMUSG00000083512",0,2,0,1,1,4
"ENSMUSG00000083513",0,0,0,0,0,0
"ENSMUSG00000083514",0,0,0,0,0,0
"ENSMUSG00000083515",0,0,0,0,0,0
"ENSMUSG00000083516",0,0,0,0,0,0
"ENSMUSG00000083517",0,0,0,0,0,0
"ENSMUSG00000083518",0,0,0,0,2,2
"ENSMUSG00000083519",0,0,0,0,0,0
"ENSMUSG00000083520",0,0,0,0,0,0
"ENSMUSG00000083522",0,0,0,0,0,0
"ENSMUSG00000083524",0,0,0,0,0,0
"ENSMUSG00000083527",0,0,0,0,0,0
"ENSMUSG00000083528",0,0,0,0,0,0
"ENSMUSG00000083530",1,0,0,0,0,0
"ENSMUSG00000083533",0,0,0,0,0,0
"ENSMUSG00000083534",0,0,0,0,1,0
"ENSMUSG00000083535",0,0,0,0,0,0
"ENSMUSG00000083536",1,0,0,0,0,0
"ENSMUSG00000083537",0,0,0,0,0,0
"ENSMUSG00000083538",0,0,0,0,0,0
"ENSMUSG00000083539",0,0,0,0,0,0
"ENSMUSG00000083541",0,0,0,0,0,0
"ENSMUSG00000083542",0,0,0,0,0,0
"ENSMUSG00000083543",0,0,0,0,0,0
"ENSMUSG00000083544",0,0,0,0,0,0
"ENSMUSG00000083545",0,0,0,0,0,0
"ENSMUSG00000083546",0,0,0,0,0,0
"ENSMUSG00000083547",0,0,0,0,1,0
"ENSMUSG00000083548",0,0,0,0,0,0
"ENSMUSG00000083549",0,0,0,0,0,0
"ENSMUSG00000083550",0,0,0,0,0,0
"ENSMUSG00000083551",0,0,0,0,0,0
"ENSMUSG00000083553",1.01,0,0,0,0,1
"ENSMUSG00000083554",0,0,0,0,0,0
"ENSMUSG00000083555",0,0,0,1,0,0
"ENSMUSG00000083556",0,0,0,0,0,0
"ENSMUSG00000083557",0,0,0,0,0,0
"ENSMUSG00000083558",0,0,0,0,0,0
"ENSMUSG00000083560",0,0,0,0,0,0
"ENSMUSG00000083561",0,0,0,0,0,0
"ENSMUSG00000083562",0,0,0,1,0,0
"ENSMUSG00000083563",3.1,3.97,4.84,2.19,4.22,0
"ENSMUSG00000083564",3,4,2,1,1,1
"ENSMUSG00000083565",0,0,0,0,0,0
"ENSMUSG00000083566",0,0,0,0,0,0
"ENSMUSG00000083567",0,0,1.45,0,0,0
"ENSMUSG00000083568",0,0,0,0,0,0
"ENSMUSG00000083569",1,2,0,0,4,0
"ENSMUSG00000083570",0,0,0,0,0,0
"ENSMUSG00000083572",0,0,0,0,0,0
"ENSMUSG00000083573",13,15,15,10,11,10
"ENSMUSG00000083574",0,0,0,0,0,0
"ENSMUSG00000083576",0,0,0,0,0,0
"ENSMUSG00000083577",0,0,0,0,0,0
"ENSMUSG00000083579",0,0,0,0,0,0
"ENSMUSG00000083580",0,0,0,0,0,0
"ENSMUSG00000083581",0,0,0,1,0,0
"ENSMUSG00000083582",0,0,0,0,0,0
"ENSMUSG00000083584",0,0,0,0,0,0
"ENSMUSG00000083585",0,0,0,0,0,0
"ENSMUSG00000083586",0,0,0,0,0,0
"ENSMUSG00000083587",0,0,0,0,0,0
"ENSMUSG00000083588",0,0,0,0,0,1
"ENSMUSG00000083590",0,0,0,0,0,0
"ENSMUSG00000083592",0,0,0,0,0,0
"ENSMUSG00000083594",81.49,54.91,74.02,181.89,243.42,227.09
"ENSMUSG00000083595",3,2,1,1,0,1
"ENSMUSG00000083596",8.31,5.51,0,7.96,0,4.86
"ENSMUSG00000083597",0,0,0,0,0,0
"ENSMUSG00000083598",0,0,0,0,0,0
"ENSMUSG00000083599",0,0,0,0,0,0
"ENSMUSG00000083601",0,0,0,0,0,0
"ENSMUSG00000083602",0,2,4,3,1,0
"ENSMUSG00000083603",0,0,0,0,0,0
"ENSMUSG00000083605",0,0,0,0,0,0
"ENSMUSG00000083606",0,0,0,0,0,0
"ENSMUSG00000083607",0,0,0,0,0,0
"ENSMUSG00000083608",0,0,0,0,0,0
"ENSMUSG00000083609",0,0,0,0,0,0
"ENSMUSG00000083610",0.32,0,1.78,4.04,3.25,0
"ENSMUSG00000083611",1,2,2,1,2,1
"ENSMUSG00000083613",0,0,0,0,0,0
"ENSMUSG00000083614",0,0,0,0,0,0
"ENSMUSG00000083615",0,0,0,0,0,0
"ENSMUSG00000083616",0,0,0,0,0,0
"ENSMUSG00000083617",0,0,0,0,0,0
"ENSMUSG00000083618",0,0,0,0,0,0
"ENSMUSG00000083619",0,0,0,0,0,0
"ENSMUSG00000083620",0,0,0,0,0,0
"ENSMUSG00000083621",0,0,0,0,0,0
"ENSMUSG00000083622",0,0,0,0,1,0
"ENSMUSG00000083623",6.08,7.26,2.28,18.29,16.1,14.59
"ENSMUSG00000083624",0,0,0,0,0,0
"ENSMUSG00000083625",0,0,0,0,0,0
"ENSMUSG00000083626",138.61,94.18,88.23,103.21,106.06,150.34
"ENSMUSG00000083627",0,0,0,0,0,0
"ENSMUSG00000083628",0,0,0,0,0,0
"ENSMUSG00000083629",0,0,0,0,0,0
"ENSMUSG00000083630",0,0,2,5,5,10
"ENSMUSG00000083631",0,0,0,0,0,0
"ENSMUSG00000083632",0,0,0,0,0,0
"ENSMUSG00000083633",0,0,0,0,0,0
"ENSMUSG00000083635",0,0,0,0,0,0
"ENSMUSG00000083636",0,0,0,0,0,0
"ENSMUSG00000083637",0,0,0,0,0,0
"ENSMUSG00000083640",0,0,0,0,0,0
"ENSMUSG00000083641",0,0,0,0,0,0
"ENSMUSG00000083642",0,0,0,0,0,0
"ENSMUSG00000083643",0,0,0,0,0,0
"ENSMUSG00000083644",0,0,0,0,0,0
"ENSMUSG00000083645",0,0,0,0,0,0
"ENSMUSG00000083646",0,0,3,2,0,1
"ENSMUSG00000083648",0,0,0,0,0,0
"ENSMUSG00000083649",4,1,2,7,10,9
"ENSMUSG00000083650",0,0,0,0,0,0
"ENSMUSG00000083651",0,0,0,0,0,0
"ENSMUSG00000083653",0,0,0,0,0,0
"ENSMUSG00000083654",0,0,0,0,0,0
"ENSMUSG00000083655",0,1,0,0,0,0
"ENSMUSG00000083657",0,0,0,0,0,0
"ENSMUSG00000083658",0,0,0,0,0,0
"ENSMUSG00000083659",0,0,0,0,0,0
